id,create_uid,code,create_date,reconcile,deprecated,company_id,write_uid,currency_id,note,internal_type,write_date,user_type_id,last_time_entries_checked,name,wtaxf
527,1,2.1.5.03.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,9,,Socio 3 Cta. Part.,
528,1,2.1.6.01.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,9,,IVA Débito Fiscal,
529,1,2.1.6.02.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,9,,IVA Resp.No Inscripto,
530,1,2.1.6.03.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,9,,Alquileres a Pagar,
531,1,2.1.6.04.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,9,,Seguros a Pagar,
532,1,2.1.6.05.000,3/8/18 20:34,FALSE,FALSE,1,8,,,other,9/20/19 15:14,10,,Préstamos de largo plazo BICE,
533,1,3.1.1.01.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Capital Social,
534,1,3.1.1.02.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Ajuste al Capital,
535,1,3.1.1.03.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Prima de emisión,
536,1,3.1.2.01.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Reserva Legal,
537,1,3.1.2.02.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Aportes,
538,1,3.1.3.01.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Resultado del Ejercicio,
539,1,3.1.3.02.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Resultados No Asignados,
540,1,3.1.3.03.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,11,,Ajuste Ejercicios Anteriores,
541,1,4.1.2.01.000,3/8/18 20:34,FALSE,FALSE,1,6,,,other,2/12/19 18:01,16,,Descuentos Obtenidos,
543,1,4.1.2.03.000,3/8/18 20:34,FALSE,FALSE,1,6,,,other,2/12/19 19:45,13,,Intereses Ganados,
545,1,4.2.1.01.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/8/18 20:34,17,,Costo de Mercaderías Vendidas,
546,1,4.2.1.03.000,3/8/18 20:34,FALSE,FALSE,1,6,,,other,2/12/19 19:47,15,,Amortizaciones,
548,1,4.2.2.05.000,3/8/18 20:34,FALSE,FALSE,1,13,,,other,11/5/20 15:46,16,,Impuestos y Tasas,
550,1,4.2.2.09.100,3/8/18 20:34,FALSE,FALSE,1,1,,,other,3/29/19 14:48,16,,IIBB CABA,
552,1,4.2.2.10.000,3/8/18 20:34,FALSE,FALSE,1,6,,,other,3/8/19 20:43,16,,Gastos Varios de Comercialización,
553,1,4.2.2.11.000,3/8/18 20:34,FALSE,FALSE,1,6,,,other,3/11/19 13:31,16,,Comisiones de vendedores,
554,1,4.2.2.13.000,3/8/18 20:34,FALSE,FALSE,1,1,,,other,8/14/20 21:40,16,,Impuesto a las ganancias,
560,1,4.2.4.03.001,3/8/18 20:34,FALSE,FALSE,1,8,,,other,1/13/20 18:18,16,,Intereses pagados,cashin_out
563,1,1.1.1.03.001,3/8/18 20:39,FALSE,FALSE,1,8,,,other,2/26/20 13:54,5,,Plazo Fijo moneda extranjera,
565,1,1.2.1.04.003,3/8/18 20:40,FALSE,FALSE,1,1,,,other,3/8/18 20:40,6,,Edificios,
566,1,1.1.1.02.005,3/23/18 14:30,FALSE,FALSE,1,13,,,liquidity,12/10/20 21:13,3,,Banco Nación CC$,
567,1,1.1.1.02.006,3/23/18 14:42,FALSE,FALSE,1,6,,,liquidity,12/10/20 22:14,3,,Compensación,
576,1,1.1.1.02.007,7/5/18 14:42,FALSE,FALSE,1,1,,,other,7/5/18 14:43,5,,Cheques de 3ros Rechazados,
577,1,1.1.1.02.008,7/5/18 14:44,FALSE,FALSE,1,1,,,other,7/5/18 14:44,5,,Cheques de 3ros Rechazados desde endosados,
578,1,1.1.1.02.009,7/5/18 14:45,FALSE,FALSE,1,1,,,other,7/5/18 14:45,5,,Cheques de 3ros Cancelados,
579,1,2.1.1.01.004,7/5/18 14:46,FALSE,FALSE,1,1,,,other,7/5/18 14:46,9,,Cheques emitidos Cancelados,
580,1,2.1.1.01.005,7/5/18 14:46,FALSE,FALSE,1,1,,,other,7/5/18 14:47,9,,Cheques emitidos Rechazados,
581,1,4100011,7/6/18 20:33,FALSE,FALSE,1,6,,,liquidity,2/12/19 19:44,3,,Saldos Iniciales,
582,1,5.1.2.01.001,7/11/18 14:38,FALSE,FALSE,1,6,,,other,2/27/19 15:02,5,,Fabricación de Productos Terminados (cuenta puente),
583,6,4.2.2.02.001,7/13/18 18:17,FALSE,FALSE,1,6,,,other,3/8/19 20:41,16,,Diferencia Aportes Obra Social,
584,6,2.1.2.07.000,7/13/18 18:25,FALSE,FALSE,1,13,,,other,2/19/21 18:20,9,,Retenciones Ganancias a Pagar ,cashin_out
585,6,2.1.1.01.006,7/13/18 20:26,FALSE,FALSE,1,6,,,other,12/3/20 20:32,9,,Tarjeta Visa BBVA a Pagar - Charlie,cashin_out
586,6,2.1.1.01.007,7/13/18 20:27,FALSE,FALSE,1,13,,,other,12/4/20 13:35,9,,Tarjeta Visa BBVA a Pagar - Diego,cashin_out
588,1,1.1.3.15.000,7/31/18 19:55,FALSE,FALSE,1,1,,,other,7/31/18 19:55,5,,Impuestos Internos,
589,1,1.1.6.01.001 ,8/6/18 18:18,FALSE,FALSE,1,8,,,other,1/24/19 13:46,9,,Otros Impuestos / Contribuciones Provinciales,
590,1,1.1.6.01.001,8/6/18 18:19,FALSE,FALSE,1,8,,,other,7/22/19 20:01,9,,Otros Impuestos / Contribuciones Municipales,
591,1,1.1.1.01.001,8/6/18 18:53,FALSE,FALSE,1,6,,,liquidity,1/16/19 17:49,3,,Nito Caja Chica,
592,1,1.1.1.01.002,8/6/18 18:54,FALSE,FALSE,1,6,,,liquidity,8/9/18 19:36,3,,Diego Caja Chica,
593,1,1.1.1.01.003,8/6/18 18:54,FALSE,FALSE,1,6,,,liquidity,12/11/20 12:11,3,,Charlie Caja Chica,
594,1,1.1.1.01.004,8/6/18 18:54,FALSE,FALSE,1,1,,,liquidity,8/6/18 18:54,3,,Ventas Caja Chica,
595,1,1.1.1.01.005,8/6/18 18:54,FALSE,FALSE,1,6,,,liquidity,8/21/18 16:50,3,,Producción Caja Chica,
596,1,1.1.1.01.006,8/6/18 19:13,FALSE,FALSE,1,1,,,liquidity,8/6/18 19:14,3,,Caja 2,
597,1,1.1.1.02.011,8/6/18 19:20,FALSE,FALSE,1,6,,,liquidity,3/11/19 13:33,3,,Todo Pago,
599,1,4.2.2.05.010,8/28/18 19:24,FALSE,FALSE,1,8,,,other,7/22/19 20:00,16,,Impuestos al cheque,
600,1,4.2.2.05.020,8/28/18 19:27,FALSE,FALSE,1,6,,,other,3/11/19 13:30,16,,Impuestos Créditos - 34%,
601,6,4.2.4.03.000,9/19/18 17:59,FALSE,FALSE,1,6,,,other,3/8/19 20:33,16,,Gastos varios financieros,
602,6,4.2.3.01.001,9/25/18 19:46,FALSE,FALSE,1,6,,,other,3/11/19 13:32,16,,Gastos varios de Estructura,
603,1,1.1.1.02.010,10/9/18 21:19,FALSE,FALSE,1,6,,,other,10/7/19 19:40,5,,Cheques de 3ros (2),
604,1,1.1.1.02.012,10/9/18 21:20,FALSE,FALSE,1,1,,,other,10/9/18 21:20,5,,Cheques de 3ros (2) Cancelados / Rechazados,
605,1,1.1.1.01.007,10/9/18 21:26,FALSE,FALSE,1,6,,,liquidity,12/20/19 17:52,3,,Efectivo CH2,
607,6,4.2.4.03.003,12/10/18 15:43,FALSE,FALSE,1,7,,,other,1/16/20 14:51,16,,Intereses préstamos a largo plazo.,
609,6,4.2.4.03.005,12/10/18 15:44,FALSE,FALSE,1,6,,,other,3/8/19 20:42,16,,Gastos varios gestión créditos,
610,8,4.2.4.03.006,1/24/19 18:25,FALSE,FALSE,1,6,,,other,2/12/19 19:46,9,,Intereses a Pagar ,
615,8,4.2.5.02.000,1/29/19 16:32,FALSE,TRUE,1,1,,,other,6/21/19 20:07,16,,Gastos varios de fabricación NO!,
616,8,1.2.1.06.002,1/29/19 16:36,FALSE,FALSE,1,8,,,other,1/29/19 16:36,6,,Equipo de Producción,
617,6,4.2.5.03.000,2/19/19 18:19,FALSE,FALSE,1,13,,,other,11/18/20 19:05,16,,Diferencia de inventario,
618,6,4.2.5.03.001,2/19/19 18:23,FALSE,FALSE,1,6,,,other,3/8/19 20:07,16,,Decomiso por calidad,
620,6,4.2.3.02.002,2/27/19 14:48,FALSE,FALSE,1,6,,,other,3/8/19 20:39,16,,Sueldos Directores,cashin_out
621,6,4.2.3.02.003,2/27/19 14:49,FALSE,FALSE,1,6,,,other,3/8/19 20:40,16,,Sueldos Calidad,cashin_out
622,6,4.2.3.02.004,2/27/19 14:49,FALSE,FALSE,1,6,,,other,3/8/19 20:40,16,,Sueldos Logística,cashin_out
623,6,5.1.2.01.003,2/27/19 14:59,FALSE,FALSE,1,6,,,other,2/27/19 15:02,9,,Compras de Insumos (cuenta puente),
624,6,4.2.1.01.001,2/27/19 15:04,FALSE,FALSE,1,6,,,other,2/27/19 15:06,13,,Costo de Materia Prima Vendidas,
625,6,4.2.1.01.002,2/27/19 15:06,FALSE,FALSE,1,6,,,other,2/27/19 15:06,13,,Costo de Insumos Vendidas,
627,6,XXXXXX,2/27/19 15:22,FALSE,FALSE,1,6,,,other,2/27/19 15:22,16,,ESTA CUENTA NO SE DEBERÍA USAR,
628,6,4.2.1.06.001,3/8/19 20:05,FALSE,FALSE,1,6,,,other,3/11/19 13:28,16,,Gastos por reclamos,
629,6,4.2.1.06.002,3/8/19 20:06,FALSE,FALSE,1,6,,,other,3/8/19 20:07,16,,Contramuestras,
631,6,4.2.2.06.001,3/8/19 20:09,FALSE,FALSE,1,6,,,other,3/8/19 20:09,16,,Giras de ventas,
632,6,4.2.2.06.002,3/8/19 20:10,FALSE,FALSE,1,6,,,other,3/8/19 20:10,16,,Repositores externos,
633,6,4.2.2.06.003,3/8/19 20:10,FALSE,FALSE,1,1,,,other,8/29/19 20:38,14,,Descuentos varios a clientes,
634,6,4.2.4.01.001,3/8/19 20:12,FALSE,FALSE,1,6,,,other,3/11/19 13:35,16,,"Autonomos, monotributo, etc.",
635,6,4.2.4.03.002,3/8/19 20:33,FALSE,FALSE,1,6,,,other,3/8/19 20:33,16,,Gastos de cobranzas,
636,6,4.2.2.07.001,3/8/19 20:37,FALSE,FALSE,1,6,,,other,3/8/19 20:38,16,,Gastos de Prensa,
637,6,4.2.2.07.006,3/8/19 20:38,FALSE,FALSE,1,6,,,other,3/8/19 20:38,16,,Decomiso cambio de pack,
638,6,4.2.3.02.005,3/8/19 20:40,FALSE,FALSE,1,6,,,other,3/8/19 20:40,16,,Sueldos Marketing,cashin_out
644,6,4.2.3.02.006,3/11/19 15:09,FALSE,FALSE,1,6,,,other,3/11/19 15:09,16,,Gastos varios de staff,cashin_out
645,8,2.1.1.01.008,3/22/19 14:03,FALSE,FALSE,1,6,,,other,12/3/20 19:02,9,,Tarjeta Visa Banco Nación a Pagar,cashin_out
647,8,4.2.2.09.200,5/7/19 15:39,FALSE,FALSE,1,8,,,other,5/7/19 15:39,16,,IIBB PBA,
650,6,4.2.3.02.007,6/11/19 14:33,FALSE,FALSE,1,6,,,other,6/11/19 14:34,16,,Sueldos Depósito,cashin_out
651,1,3.1.4.01.000,6/21/19 19:23,FALSE,FALSE,1,8,,,other,10/21/20 20:08,16,,Diferencia de Cambio,
652,8,1.1.1.02.013,7/23/19 14:20,FALSE,FALSE,1,8,,,liquidity,12/29/19 0:58,3,,Banco Nación USD,
653,8,2.1.6.06.000 ,9/20/19 15:14,FALSE,FALSE,1,8,,,other,9/20/19 15:15,10,,Préstamos de largo plazo BNA,
654,7,3.1.2.03.000,10/31/19 13:57,FALSE,FALSE,1,7,,,other,10/31/19 14:00,11,,Reserva Facultativa,
655,7,1.1.3.16.000 ,11/28/19 20:09,FALSE,FALSE,1,7,,,other,11/28/19 20:09,5,,Saldo a favor de ganancias.,
656,8,1.1.5.04.001,12/16/19 14:34,FALSE,FALSE,1,8,,,other,12/16/19 14:38,5,,Otros Créditos/ Carlos Rivero Haedo,
657,8,1.1.5.04.002,12/16/19 14:38,FALSE,FALSE,1,8,,,other,12/16/19 14:38,5,,Otros Créditos/ Diego Salmain,
658,8,1.1.5.04.003,12/16/19 14:38,FALSE,FALSE,1,8,,,other,12/16/19 14:39,5,,Otros Créditos/Mariano Anello,
659,7,2.1.6.07.000  ,1/16/20 14:41,FALSE,FALSE,1,7,,,other,1/16/20 14:42,10,,Préstamos de largo plazo MinCyT,
660,6,2.1.6.08.000,1/27/20 18:10,FALSE,FALSE,1,6,,,other,6/17/20 19:49,9,,Retenciones IVA a Pagar,cashin_out
661,8,4.1.2.02.000 ,2/26/20 13:37,TRUE,FALSE,1,8,,,other,2/26/20 13:55,13,,Intereses a Devengar ,
662,8,1.1.1.03.002,2/26/20 13:40,FALSE,FALSE,1,8,,,other,2/26/20 13:41,5,,Plazo Fijo Pesos,
663,6,1.1.4.03.100,4/20/20 17:41,FALSE,FALSE,1,6,,,other,4/20/20 17:41,5,,Productos Shop,
664,6,4.1.1.02.001,4/24/20 15:00,FALSE,FALSE,1,6,,,other,4/24/20 15:00,14,,Ventas shop,
665,8,4.2.5.04.000 ,5/4/20 14:55,FALSE,FALSE,1,8,,,other,5/4/20 14:56,16,,Donaciones ,
666,6,4.1.1.01.006,5/26/20 17:02,FALSE,FALSE,1,6,,,other,5/26/20 17:02,14,,Ventas ingredientes,
667,8,4.2.3.02.008,7/21/20 16:34,FALSE,FALSE,1,8,,,other,7/21/20 16:34,16,,Sueldos Compras,cashin_out
668,8,1.1.1.02.014,8/4/20 20:22,FALSE,FALSE,1,13,,,liquidity,12/11/20 19:07,3,,Banco Galicia   ,
669,8,4.2.4.03.004,9/14/20 19:34,TRUE,FALSE,1,8,,,other,10/21/20 20:16,16,,Deudores Incobrables,cashin_out
670,6,1.1.1.03.003,9/23/20 19:13,FALSE,FALSE,1,6,,,other,9/23/20 19:14,5,,Fondos de Inversión Pesos,
672,6,1.1.1.02.015,11/7/20 11:33,FALSE,FALSE,1,6,,,liquidity,11/19/20 18:00,3,,BACS (De Credito Y Securitizacion),
673,6,4.1.1.01.007,1/15/21 12:39,FALSE,FALSE,1,6,,,other,1/15/21 12:39,14,,Ventas Cereales,
674,13,2.1.6.09.000 ,1/22/21 22:06,FALSE,FALSE,1,13,,,other,1/22/21 22:07,10,,Préstamo Sigma ,cashin_out
675,6,2.1.1.01.009,1/25/21 20:04,FALSE,FALSE,1,6,,,other,1/25/21 20:04,9,,Tarjeta Visa Galicia a Pagar,cashin_out
677,6,1.1.1.02.016,2/18/21 14:05,FALSE,FALSE,1,6,,,liquidity,2/18/21 14:05,3,,Banco Patagonia,
678,6,4.1.1.01.100,4/28/21 14:10,FALSE,FALSE,1,6,,,other,4/28/21 14:11,14,,Ventas Pampa Vida,
